iter	Passed	Remaining
0	2	633
1	3	578
2	5	539
3	7	528
4	8	521
5	10	517
6	12	510
7	13	507
8	15	499
9	16	492
10	18	485
11	19	478
12	21	473
13	22	467
14	24	461
15	25	456
16	27	452
17	28	451
18	30	449
19	31	446
20	33	444
21	34	442
22	36	439
23	38	438
24	39	436
25	41	433
26	42	432
27	44	430
28	45	428
29	47	427
30	49	425
31	50	425
32	52	423
33	53	422
34	55	421
35	57	418
36	59	419
37	60	419
38	62	419
39	64	418
40	65	416
41	67	414
42	69	413
43	70	412
44	72	410
45	74	409
46	75	407
47	77	406
48	79	404
49	80	402
50	82	401
51	83	399
52	85	398
53	87	397
54	89	396
55	90	394
56	92	392
57	93	390
58	95	389
59	96	387
60	98	386
61	100	384
62	101	382
63	103	381
64	104	379
65	106	377
66	108	375
67	109	374
68	111	372
69	112	371
70	114	369
71	116	367
72	117	366
73	119	365
74	121	363
75	122	361
76	124	360
77	125	358
78	127	356
79	129	354
80	130	353
81	132	351
82	133	350
83	135	348
84	137	347
85	138	345
86	140	343
87	141	342
88	143	340
89	145	338
90	147	337
91	148	336
92	150	335
93	152	333
94	153	331
95	155	330
96	157	328
97	158	327
98	160	325
99	162	324
100	163	322
101	165	321
102	166	319
103	168	317
104	170	315
105	171	314
106	173	313
107	175	311
108	176	310
109	179	309
110	181	308
111	182	307
112	193	319
113	194	318
114	196	316
115	197	314
116	199	312
117	201	310
118	202	308
119	204	306
120	205	304
121	207	302
122	208	300
123	210	298
124	211	296
125	213	294
126	214	292
127	216	290
128	217	288
129	219	286
130	220	284
131	222	282
132	223	280
133	225	278
134	226	276
135	228	275
136	229	273
137	230	271
138	232	269
139	233	267
140	235	265
141	237	263
142	239	262
143	241	261
144	243	259
145	244	258
146	246	257
147	248	255
148	250	254
149	252	252
150	254	251
151	256	249
152	257	247
153	259	245
154	260	244
155	262	242
156	264	240
157	265	238
158	267	237
159	268	235
160	270	233
161	272	231
162	273	229
163	274	227
164	276	226
165	277	224
166	279	222
167	280	220
168	282	218
169	284	217
170	285	215
171	287	213
172	288	212
173	290	210
174	292	208
175	293	206
176	295	205
177	296	203
178	298	201
179	300	200
180	302	198
181	303	196
182	305	195
183	306	193
184	308	191
185	310	190
186	311	188
187	313	186
188	315	185
189	316	183
190	318	181
191	321	180
192	322	178
193	324	177
194	326	175
195	327	173
196	329	172
197	330	170
198	332	168
199	333	166
200	335	165
201	336	163
202	338	161
203	339	159
204	341	158
205	343	156
206	344	154
207	346	153
208	347	151
209	349	149
210	350	147
211	352	146
212	354	144
213	355	142
214	357	141
215	358	139
216	359	137
217	361	135
218	362	134
219	364	132
220	365	130
221	367	129
222	369	127
223	370	125
224	372	124
225	374	122
226	375	120
227	377	119
228	378	117
229	380	115
230	381	114
231	383	112
232	385	110
233	386	109
234	388	107
235	390	105
236	392	104
237	393	102
238	395	100
239	397	99
240	398	97
241	400	95
242	401	94
243	403	92
244	404	90
245	405	89
246	407	87
247	408	85
248	410	84
249	411	82
250	413	80
251	415	79
252	416	77
253	418	75
254	420	74
255	421	72
256	423	70
257	425	69
258	426	67
259	428	65
260	429	64
261	431	62
262	433	60
263	434	59
264	436	57
265	438	56
266	440	54
267	442	52
268	443	51
269	445	49
270	447	47
271	449	46
272	450	44
273	452	42
274	454	41
275	456	39
276	458	38
277	459	36
278	461	34
279	463	33
280	465	31
281	468	29
282	470	28
283	472	26
284	475	25
285	477	23
286	480	21
287	482	20
288	484	18
289	487	16
290	489	15
291	492	13
292	494	11
293	496	10
294	498	8
295	500	6
296	502	5
297	504	3
298	506	1
299	508	0
